"Date","Portfolio_Wealth_Index","NASDAQ_Wealth_Index"
2016-12-01,4.7932,1.6136
2017-01-01,4.9495,1.683
2017-02-01,5.2364,1.7462
2017-03-01,5.3712,1.772
2017-04-01,5.4329,1.8127
2017-05-01,5.4654,1.858
2017-06-01,5.4413,1.8406
2017-07-01,5.5929,1.9028
2017-08-01,5.7779,1.927
2017-09-01,5.8284,1.9471
2017-10-01,6.3836,2.0166
2017-11-01,6.4903,2.0604
2017-12-01,6.5367,2.0693
2018-01-01,6.9534,2.2216
2018-02-01,7.1574,2.1801
2018-03-01,6.94,2.1172
2018-04-01,6.984,2.1181
2018-05-01,7.3421,2.2307
2018-06-01,7.1258,2.2512
2018-07-01,7.32,2.2996
2018-08-01,7.9397,2.4308
2018-09-01,8.0658,2.4119
2018-10-01,7.7147,2.1899
2018-11-01,7.6558,2.1973
2018-12-01,7.0359,1.9889
2019-01-01,7.4457,2.1827
2019-02-01,8.0148,2.2578
2019-03-01,8.4197,2.3168
2019-04-01,8.724,2.4266
2019-05-01,7.9157,2.2341
2019-06-01,8.6968,2.3998
2019-07-01,8.9579,2.4505
2019-08-01,8.4349,2.3868
2019-09-01,8.9338,2.3978
2019-10-01,9.2745,2.4856
2019-11-01,9.558,2.5974
2019-12-01,9.9141,2.6895
2020-01-01,10.2118,2.743
2020-02-01,9.2428,2.568
2020-03-01,8.9651,2.3081
2020-04-01,9.9944,2.6646
2020-05-01,10.6198,2.8445
2020-06-01,11.0945,3.0151
2020-07-01,11.0576,3.2208
2020-08-01,11.769,3.5296
2020-09-01,11.377,3.3474
2020-10-01,10.4874,3.2707
2020-11-01,11.5048,3.6565
2020-12-01,12.3264,3.8632
2021-01-01,12.5284,3.9179
2021-02-01,12.7839,3.9544
2021-03-01,13.6156,3.9707
2021-04-01,13.9134,4.1853
2021-05-01,13.9713,4.1211
2021-06-01,14.4402,4.3475
2021-07-01,15.127,4.3981
2021-08-01,15.7526,4.5739
2021-09-01,14.999,4.3309
2021-10-01,15.851,4.6456
2021-11-01,15.9777,4.6574
2021-12-01,16.8266,4.6895
2022-01-01,15.7027,4.2683
2022-02-01,15.1682,4.1219
2022-03-01,15.8615,4.2625
2022-04-01,14.1109,3.6973
2022-05-01,13.6947,3.6213
2022-06-01,12.6913,3.3058
2022-07-01,13.7838,3.7141
2022-08-01,13.0376,3.5419
2022-09-01,11.229,3.17
2022-10-01,12.6295,3.2937
2022-11-01,13.3766,3.4375
2022-12-01,12.4542,3.1373
2023-01-01,13.2436,3.4724
2023-02-01,12.9915,3.4338
2023-03-01,14.9362,3.6635
2023-04-01,14.8425,3.6649
2023-05-01,15.7564,3.8773
2023-06-01,16.9188,4.1329
2023-07-01,17.1187,4.3002
2023-08-01,17.3083,4.2069
2023-09-01,16.306,3.9624
2023-10-01,16.4393,3.8521
2023-11-01,18.1503,4.2642
2023-12-01,18.4722,4.4996
2024-01-01,18.1955,4.5453
2024-02-01,18.1775,4.8235
2024-03-01,18.7392,4.9097
2024-04-01,16.6981,4.6934
2024-05-01,17.4958,5.0163
2024-06-01,18.9312,5.3153
2024-07-01,18.8948,5.2753
2024-08-01,18.1895,5.3096
2024-09-01,19.5803,5.4521
2024-10-01,18.9745,5.4239
2024-11-01,20.5051,5.7606
2024-12-01,19.6386,5.7883
2025-01-01,19.4045,5.8832
2025-02-01,20.3612,5.6494
2025-03-01,18.8484,5.1854
2025-04-01,18.2327,5.2295
2025-05-01,19.5539,5.7293
2025-06-01,22.1837,6.1057
2025-07-01,22.6725,6.3314
2025-08-01,23.6331,6.4312
2025-09-01,27.1017,6.7922
2025-10-01,28.4883,7.1115
2025-11-01,27.4905,7.0038
