"Date","Portfolio_Wealth_Index","NASDAQ_Wealth_Index"
"1970-05-18",2.2514,0.8613
"1970-05-19",2.1807,0.8499
"1970-05-20",2.1347,0.8314
"1970-05-21",2.2102,0.8262
"1970-05-22",2.1052,0.7732
"1970-05-23",2.1119,0.724
"1970-05-24",2.3725,0.8046
"1970-05-25",2.3196,0.7854
"1970-05-26",2.2511,0.7809
"1970-05-27",2.4946,0.8434
"1970-05-28",2.6616,0.8893
"1970-05-29",2.7913,0.9267
"1970-05-30",2.7567,0.9131
"1970-05-31",2.4954,0.8475
"1970-06-01",2.6341,0.8798
"1970-06-02",2.5916,0.8811
"1970-06-03",2.7747,0.9193
"1970-06-04",2.7163,0.9341
"1970-06-05",2.5488,0.8924
"1970-06-06",2.533,0.9023
"1970-06-07",2.5693,0.9051
"1970-06-08",2.5809,0.9418
"1970-06-09",2.5564,0.9473
"1970-06-10",2.5818,0.9794
"1970-06-11",2.7205,0.9978
"1970-06-12",2.8711,1.0359
"1970-06-13",2.7618,1.0201
"1970-06-14",2.8342,1.087
"1970-06-15",2.8191,1.076
"1970-06-16",2.8685,1.1305
"1970-06-17",2.9837,1.1749
"1970-06-18",3.0559,1.2169
"1970-06-19",3.2039,1.2519
"1970-06-20",3.0696,1.2301
"1970-06-21",3.1546,1.2913
"1970-06-22",3.3002,1.2586
"1970-06-23",3.3987,1.2333
"1970-06-24",3.5449,1.2717
"1970-06-25",3.6681,1.3213
"1970-06-26",3.7945,1.3098
"1970-06-27",3.9345,1.3729
"1970-06-28",3.8931,1.3469
"1970-06-29",3.9407,1.388
"1970-06-30",4.2825,1.4363
"1970-07-01",4.246,1.4196
"1970-07-02",4.0091,1.3894
"1970-07-03",4.3008,1.4878
"1970-07-04",4.1039,1.469
"1970-07-05",4.3577,1.4812
"1970-07-06",4.4276,1.5197
"1970-07-07",4.1334,1.4948
"1970-07-08",4.1355,1.5372
"1970-07-09",3.8849,1.4317
"1970-07-10",3.931,1.3849
"1970-07-11",4.3796,1.5148
"1970-07-12",4.3873,1.5313
"1970-07-13",4.2584,1.501
"1970-07-14",3.9927,1.383
"1970-07-15",3.9903,1.3662
"1970-07-16",4.4127,1.4597
"1970-07-17",4.094,1.4314
"1970-07-18",4.2988,1.4832
"1970-07-19",4.2888,1.4516
"1970-07-20",4.5696,1.5473
"1970-07-21",4.669,1.5626
"1970-07-22",4.7639,1.5922
"1970-07-23",4.6816,1.5554
"1970-07-24",4.6856,1.5958
"1970-07-25",4.7932,1.6136
"1970-07-26",4.9495,1.683
"1970-07-27",5.2364,1.7462
"1970-07-28",5.3712,1.772
"1970-07-29",5.4329,1.8127
"1970-07-30",5.4654,1.858
"1970-07-31",5.4413,1.8406
"1970-08-01",5.5929,1.9028
"1970-08-02",5.7779,1.927
"1970-08-03",5.8284,1.9471
"1970-08-04",6.3836,2.0166
"1970-08-05",6.4903,2.0604
"1970-08-06",6.5367,2.0693
"1970-08-07",6.9534,2.2216
"1970-08-08",7.1574,2.1801
"1970-08-09",6.94,2.1172
"1970-08-10",6.984,2.1181
"1970-08-11",7.3421,2.2307
"1970-08-12",7.1258,2.2512
"1970-08-13",7.32,2.2996
"1970-08-14",7.9397,2.4308
"1970-08-15",8.0658,2.4119
"1970-08-16",7.7147,2.1899
"1970-08-17",7.6558,2.1973
"1970-08-18",7.0359,1.9889
"1970-08-19",7.4457,2.1827
"1970-08-20",8.0148,2.2578
"1970-08-21",8.4197,2.3168
"1970-08-22",8.724,2.4266
"1970-08-23",7.9157,2.2341
"1970-08-24",8.6968,2.3998
"1970-08-25",8.9579,2.4505
"1970-08-26",8.4349,2.3868
"1970-08-27",8.9338,2.3978
"1970-08-28",9.2745,2.4856
"1970-08-29",9.558,2.5974
"1970-08-30",9.9141,2.6895
"1970-08-31",10.2118,2.743
"1970-09-01",9.2428,2.568
"1970-09-02",8.9651,2.3081
"1970-09-03",9.9944,2.6646
"1970-09-04",10.6198,2.8445
"1970-09-05",11.0945,3.0151
"1970-09-06",11.0576,3.2208
"1970-09-07",11.769,3.5296
"1970-09-08",11.377,3.3474
"1970-09-09",10.4874,3.2707
"1970-09-10",11.5048,3.6565
"1970-09-11",12.3264,3.8632
"1970-09-12",12.5284,3.9179
"1970-09-13",12.7839,3.9544
"1970-09-14",13.6156,3.9707
"1970-09-15",13.9134,4.1853
"1970-09-16",13.9713,4.1211
"1970-09-17",14.4402,4.3475
"1970-09-18",15.127,4.3981
"1970-09-19",15.7526,4.5739
"1970-09-20",14.999,4.3309
"1970-09-21",15.851,4.6456
"1970-09-22",15.9777,4.6574
"1970-09-23",16.8266,4.6895
"1970-09-24",15.7026,4.2683
"1970-09-25",15.1682,4.1219
"1970-09-26",15.8615,4.2625
"1970-09-27",14.1109,3.6973
"1970-09-28",13.6947,3.6213
"1970-09-29",12.6913,3.3058
"1970-09-30",13.7838,3.7141
"1970-10-01",13.0376,3.5419
"1970-10-02",11.229,3.17
"1970-10-03",12.6295,3.2937
"1970-10-04",13.3766,3.4375
"1970-10-05",12.4542,3.1373
"1970-10-06",13.2436,3.4724
"1970-10-07",12.9915,3.4338
"1970-10-08",14.9362,3.6635
"1970-10-09",14.8425,3.6649
"1970-10-10",15.7564,3.8773
"1970-10-11",16.9188,4.1329
"1970-10-12",17.1187,4.3002
"1970-10-13",17.3083,4.2069
"1970-10-14",16.306,3.9624
"1970-10-15",16.4393,3.8521
"1970-10-16",18.1503,4.2642
"1970-10-17",18.4722,4.4996
"1970-10-18",18.1955,4.5453
"1970-10-19",18.1775,4.8235
"1970-10-20",18.7392,4.9097
"1970-10-21",16.6981,4.6934
"1970-10-22",17.4958,5.0163
"1970-10-23",18.9312,5.3153
"1970-10-24",18.8948,5.2753
"1970-10-25",18.1895,5.3096
"1970-10-26",19.5803,5.4521
"1970-10-27",18.9745,5.4239
"1970-10-28",20.5051,5.7606
"1970-10-29",19.6386,5.7883
"1970-10-30",19.4045,5.8832
"1970-10-31",20.3612,5.6494
"1970-11-01",18.8484,5.1854
"1970-11-02",18.2327,5.2295
"1970-11-03",19.5539,5.7293
"1970-11-04",22.1837,6.1057
"1970-11-05",22.6725,6.3314
"1970-11-06",23.6331,6.4312
"1970-11-07",27.1017,6.7922
"1970-11-08",28.4883,7.1115
"1970-11-09",27.4905,7.0038
