"Metric","Portfolio","NASDAQ"
"Mean Sigma (monthly)",6.6478,5.7542
"Mean Sigma (annualized)",23.0287,19.9332
"Max Sigma (annualized)",56.7444,52.8275
"Min Sigma (annualized)",12.6892,10.4232
