"Date","Portfolio_Return","NASDAQ_Return"
"1970-03-28",1.0846,2.0138
"1970-03-29",-4.416,-1.9392
"1970-03-30",2.9388,0.2272
"1970-03-31",7.1334,4.2719
"1970-04-01",6.1718,3.1456
"1970-04-02",1.9565,-0.0495
"1970-04-03",1.3286,-2.188
"1970-04-04",5.9399,1.9672
"1970-04-05",5.0335,4.0495
"1970-04-06",10.9863,5.8345
"1970-04-07",-8.0119,-6.9308
"1970-04-08",5.2331,-0.3262
"1970-04-09",-15.8861,-9.8941
"1970-04-10",-7.7047,-4.9534
"1970-04-11",5.8082,0.3355
"1970-04-12",7.9683,5.8663
"1970-04-13",5.1393,4.5532
"1970-04-14",-8.3156,-9.1047
"1970-04-15",-2.2416,1.4204
"1970-04-16",5.4101,1.8047
"1970-04-17",-13.1874,-11.6426
"1970-04-18",-13.4539,-17.7319
"1970-04-19",-11.2357,-10.772
"1970-04-20",0.9582,2.7
"1970-04-21",-6.3355,-6.3797
"1970-04-22",-3.6085,-6.677
"1970-04-23",16.5598,10.941
"1970-04-24",11.4427,12.3454
"1970-04-25",1.5944,3.3209
"1970-04-26",7.1416,3.4216
"1970-04-27",10.2618,7.8178
"1970-04-28",2.1124,1.5446
"1970-04-29",3.2715,5.6424
"1970-04-30",1.0621,-3.6425
"1970-05-01",4.0131,4.8648
"1970-05-02",5.9945,5.8076
"1970-05-03",-6.6881,-5.3676
"1970-05-04",5.8984,4.2336
"1970-05-05",7.6432,7.135
"1970-05-06",4.3834,2.6368
"1970-05-07",-9.9877,-8.2948
"1970-05-08",-6.7914,-6.5484
"1970-05-09",7.7546,6.8963
"1970-05-10",-9.9114,-6.239
"1970-05-11",12.7212,12.0429
"1970-05-12",6.6414,5.8595
"1970-05-13",-4.0637,-0.3661
"1970-05-14",7.2594,6.19
"1970-05-15",2.6951,1.7796
"1970-05-16",-1.8743,3.044
"1970-05-17",-3.2884,-0.0431
"1970-05-18",5.4706,3.325
"1970-05-19",-3.142,-1.3308
"1970-05-20",-2.1099,-2.179
"1970-05-21",3.5413,-0.618
"1970-05-22",-4.754,-6.4186
"1970-05-23",0.3196,-6.3602
"1970-05-24",12.3418,11.1373
"1970-05-25",-2.2326,-2.3867
"1970-05-26",-2.9511,-0.5797
"1970-05-27",10.8151,8.0107
"1970-05-28",6.6963,5.4392
"1970-05-29",4.8731,4.2024
"1970-05-30",-1.2406,-1.4624
"1970-05-31",-9.4793,-7.1896
"1970-06-01",5.5595,3.8096
"1970-06-02",-1.6131,0.1523
"1970-06-03",7.0636,4.3354
"1970-06-04",-2.105,1.6065
"1970-06-05",-6.1644,-4.4605
"1970-06-06",-0.6232,1.1087
"1970-06-07",1.4359,0.3079
"1970-06-08",0.4499,4.0609
"1970-06-09",-0.9491,0.5748
"1970-06-10",0.9942,3.3963
"1970-06-11",5.3739,1.8751
"1970-06-12",5.5329,3.8188
"1970-06-13",-3.8051,-1.5238
"1970-06-14",2.6216,6.5561
"1970-06-15",-0.5338,-1.0065
"1970-06-16",1.7527,5.059
"1970-06-17",4.0166,3.9303
"1970-06-18",2.4195,3.5763
"1970-06-19",4.8432,2.8745
"1970-06-20",-4.1926,-1.7409
"1970-06-21",2.769,4.9768
"1970-06-22",4.617,-2.5331
"1970-06-23",2.9828,-2.0107
"1970-06-24",4.3017,3.1124
"1970-06-25",3.4758,3.9023
"1970-06-26",3.4469,-0.8713
"1970-06-27",3.6886,4.8172
"1970-06-28",-1.0525,-1.8968
"1970-06-29",1.2227,3.0567
"1970-06-30",8.6748,3.4744
"1970-07-01",-0.8538,-1.1599
"1970-07-02",-5.5798,-2.1286
"1970-07-03",7.2777,7.0825
"1970-07-04",-4.5777,-1.2622
"1970-07-05",6.1822,0.8272
"1970-07-06",1.6048,2.6027
"1970-07-07",-6.6448,-1.6402
"1970-07-08",0.0507,2.8356
"1970-07-09",-6.0582,-6.8594
"1970-07-10",1.186,-3.2733
"1970-07-11",11.4104,9.3847
"1970-07-12",0.1762,1.0867
"1970-07-13",-2.9377,-1.9821
"1970-07-14",-6.2388,-7.8576
"1970-07-15",-0.0608,-1.2137
"1970-07-16",10.5855,6.843
"1970-07-17",-7.2209,-1.9403
"1970-07-18",5.0003,3.6163
"1970-07-19",-0.2314,-2.1297
"1970-07-20",6.5474,6.5968
"1970-07-21",2.1743,0.9897
"1970-07-22",2.032,1.8948
"1970-07-23",-1.7272,-2.3129
"1970-07-24",0.0865,2.5927
"1970-07-25",2.2956,1.1165
"1970-07-26",3.2604,4.3036
"1970-07-27",5.7971,3.7517
"1970-07-28",2.5739,1.4814
"1970-07-29",1.1492,2.2983
"1970-07-30",0.5979,2.4954
"1970-07-31",-0.4405,-0.9373
"1970-08-01",2.7855,3.3825
"1970-08-02",3.3082,1.2687
"1970-08-03",0.8747,1.0469
"1970-08-04",9.5252,3.567
"1970-08-05",1.6714,2.1746
"1970-08-06",0.7148,0.428
"1970-08-07",6.3744,7.36
"1970-08-08",2.9343,-1.8683
"1970-08-09",-3.0366,-2.8813
"1970-08-10",0.6339,0.0399
"1970-08-11",5.1262,5.3189
"1970-08-12",-2.9461,0.9161
"1970-08-13",2.7262,2.1503
"1970-08-14",8.4653,5.706
"1970-08-15",1.5883,-0.7792
"1970-08-16",-4.3522,-9.2023
"1970-08-17",-0.7643,0.3373
"1970-08-18",-8.0972,-9.4844
"1970-08-19",5.8253,9.7428
"1970-08-20",7.6435,3.4441
"1970-08-21",5.0514,2.6125
"1970-08-22",3.6142,4.7361
"1970-08-23",-9.2655,-7.9334
"1970-08-24",9.8681,7.4209
"1970-08-25",3.0021,2.1131
"1970-08-26",-5.8384,-2.5997
"1970-08-27",5.9143,0.4579
"1970-08-28",3.8133,3.6631
"1970-08-29",3.0576,4.4994
"1970-08-30",3.7251,3.5443
"1970-08-31",3.0028,1.9876
"1970-09-01",-9.489,-6.3772
"1970-09-02",-3.0045,-10.1229
"1970-09-03",11.4816,15.4472
"1970-09-04",6.2576,6.7531
"1970-09-05",4.4695,5.9948
"1970-09-06",-0.3324,6.8249
"1970-09-07",6.4334,9.5874
"1970-09-08",-3.3309,-5.1629
"1970-09-09",-7.8192,-2.2916
"1970-09-10",9.7011,11.7962
"1970-09-11",7.1418,5.6526
"1970-09-12",1.639,1.4153
"1970-09-13",2.0386,0.9308
"1970-09-14",6.5064,0.4133
"1970-09-15",2.1869,5.4036
"1970-09-16",0.4162,-1.5322
"1970-09-17",3.3565,5.4929
"1970-09-18",4.7557,1.1633
"1970-09-19",4.1357,3.9976
"1970-09-20",-4.7841,-5.3126
"1970-09-21",5.6805,7.2658
"1970-09-22",0.7993,0.2536
"1970-09-23",5.3132,0.6904
"1970-09-24",-6.6795,-8.9811
"1970-09-25",-3.4036,-3.4304
"1970-09-26",4.5706,3.4114
"1970-09-27",-11.0365,-13.2617
"1970-09-28",-2.9494,-2.0532
"1970-09-29",-7.3271,-8.713
"1970-09-30",8.6084,12.3491
"1970-10-01",-5.4139,-4.6365
"1970-10-02",-13.8719,-10.499
"1970-10-03",12.4717,3.9008
"1970-10-04",5.9156,4.367
"1970-10-05",-6.8953,-8.7332
"1970-10-06",6.3382,10.6824
"1970-10-07",-1.9036,-1.1136
"1970-10-08",14.9689,6.69
"1970-10-09",-0.6274,0.0382
"1970-10-10",6.1574,5.7965
"1970-10-11",7.3776,6.5915
"1970-10-12",1.1815,4.0477
"1970-10-13",1.1075,-2.1682
"1970-10-14",-5.7907,-5.8116
"1970-10-15",0.8171,-2.7844
"1970-10-16",10.4082,10.6992
"1970-10-17",1.7737,5.5189
"1970-10-18",-1.4978,1.017
"1970-10-19",-0.0994,6.1192
"1970-10-20",3.0903,1.7869
"1970-10-21",-10.8921,-4.4058
"1970-10-22",4.7773,6.8796
"1970-10-23",8.204,5.961
"1970-10-24",-0.1923,-0.7512
"1970-10-25",-3.7324,0.649
"1970-10-26",7.6458,2.6847
"1970-10-27",-3.0936,-0.5169
"1970-10-28",8.0663,6.2062
"1970-10-29",-4.2255,0.4819
"1970-10-30",-1.1923,1.6398
"1970-10-31",4.9305,-3.9748
"1970-11-01",-7.43,-8.2133
"1970-11-02",-3.2667,0.85
"1970-11-03",7.2464,9.5575
"1970-11-04",13.449,6.571
"1970-11-05",2.2035,3.6953
"1970-11-06",4.2366,1.577
"1970-11-07",14.6773,5.6137
"1970-11-08",5.116,4.6997
"1970-11-09",-3.5024,-1.5143
