"Date","Portfolio_Return","NASDAQ_Return"
"1970-01-02",25.2035,21.9759
"1970-01-03",-0.7377,-3.1691
"1970-01-04",17.0739,19.1947
"1970-01-05",15.2535,-2.6372
"1970-01-06",-10.9629,-15.5739
"1970-01-07",-14.4462,-11.9086
"1970-01-08",17.6822,16.6191
"1970-01-09",-4.6931,-5.0205
"1970-01-10",11.5834,11.6634
"1970-01-11",-29.7434,-12.6839
"1970-01-12",-4.0481,-8.255
"1970-01-13",-15.7205,-22.9016
"1970-01-14",-13.1336,-4.9043
"1970-01-15",21.4648,12.2326
"1970-01-16",-22.6561,-22.3931
"1970-01-17",-10.0898,-14.4793
"1970-01-18",14.9392,14.9968
"1970-01-19",-4.827,-0.2717
"1970-01-20",9.8208,2.3715
"1970-01-21",-5.167,-6.1748
"1970-01-22",-13.7591,-10.9366
"1970-01-23",-15.1856,-16.9838
"1970-01-24",18.6072,12.7702
"1970-01-25",17.9465,14.222
"1970-01-26",-2.121,1.0266
"1970-01-27",10.9543,-0.8393
"1970-01-28",-14.1609,-10.4724
"1970-01-29",2.9378,6.5758
"1970-01-30",-10.3523,-8.5144
"1970-01-31",-4.6885,-4.2944
"1970-02-01",-8.467,-9.4397
"1970-02-02",-4.6135,-9.2229
"1970-02-03",-2.3503,-1.0096
"1970-02-04",-14.2719,-10.8598
"1970-02-05",18.7891,13.4541
"1970-02-06",15.5415,11.2074
"1970-02-07",-13.3154,-9.6884
"1970-02-08",1.2073,-1.0932
"1970-02-09",3.7068,1.2575
"1970-02-10",-5.0504,0.2729
"1970-02-11",8.8522,9.1815
"1970-02-12",10.908,8.9872
"1970-02-13",1.0111,1.6849
"1970-02-14",9.8244,6.9152
"1970-02-15",5.55,4.3475
"1970-02-16",-3.4325,-1.2986
"1970-02-17",7.4946,8.1295
"1970-02-18",0.1844,1.4517
"1970-02-19",4.2155,2.1992
"1970-02-20",2.5376,3.1337
"1970-02-21",-3.8817,-1.7583
"1970-02-22",-0.9415,-1.7538
"1970-02-23",-4.5572,-3.7142
"1970-02-24",5.7005,3.468
"1970-02-25",6.4526,3.0729
"1970-02-26",-7.2318,-7.8343
"1970-02-27",-5.1332,-2.61
"1970-02-28",3.5865,3.1957
"1970-03-01",13.1434,4.12
"1970-03-02",4.5174,6.1681
"1970-03-03",4.5116,3.75
"1970-03-04",1.4967,-5.1957
"1970-03-05",1.9754,-0.5183
"1970-03-06",-2.9009,-2.5583
"1970-03-07",-3.6753,-3.8805
"1970-03-08",9.9846,7.6273
"1970-03-09",-2.5042,-0.5444
"1970-03-10",5.2878,6.2165
"1970-03-11",-0.1286,-1.4985
"1970-03-12",0.3727,-0.0186
"1970-03-13",0.4555,-1.4588
"1970-03-14",7.7769,5.3068
"1970-03-15",-2.1729,-1.2316
"1970-03-16",1.8556,4.5572
"1970-03-17",-1.8297,-1.0595
"1970-03-18",1.0777,2.5598
"1970-03-19",1.3814,-0.736
"1970-03-20",-7.9413,-6.1867
"1970-03-21",1.2408,-0.3116
"1970-03-22",2.3057,-3.7116
"1970-03-23",8.5945,4.4122
"1970-03-24",8.7527,3.4198
"1970-03-25",4.6323,4.7945
"1970-03-26",6.051,2.749
"1970-03-27",-3.7539,-0.6777
