"Date","Portfolio_Drawdown","NASDAQ_Drawdown"
"1970-03-16",-29.58,-50.91
"1970-03-17",-30.87,-51.43
"1970-03-18",-30.13,-50.18
"1970-03-19",-29.16,-50.55
"1970-03-20",-34.79,-53.61
"1970-03-21",-33.98,-53.75
"1970-03-22",-32.45,-55.47
"1970-03-23",-26.65,-53.5
"1970-03-24",-20.23,-51.91
"1970-03-25",-16.53,-49.61
"1970-03-26",-11.48,-48.22
"1970-03-27",-14.81,-48.57
"1970-03-28",-13.88,-47.54
"1970-03-29",-17.68,-48.56
"1970-03-30",-15.27,-48.44
"1970-03-31",-9.22,-46.24
"1970-04-01",-3.62,-44.55
"1970-04-02",-1.73,-44.57
"1970-04-03",-0.43,-45.79
"1970-04-04",0,-44.72
"1970-04-05",0,-42.48
"1970-04-06",0,-39.12
"1970-04-07",-8.01,-43.34
"1970-04-08",-3.2,-43.53
"1970-04-09",-18.58,-49.12
"1970-04-10",-24.85,-51.64
"1970-04-11",-20.48,-51.47
"1970-04-12",-14.15,-48.63
"1970-04-13",-9.74,-46.29
"1970-04-14",-17.24,-51.18
"1970-04-15",-19.1,-50.49
"1970-04-16",-14.72,-49.59
"1970-04-17",-25.97,-55.46
"1970-04-18",-35.93,-63.36
"1970-04-19",-43.13,-67.31
"1970-04-20",-42.58,-66.42
"1970-04-21",-46.22,-68.56
"1970-04-22",-48.16,-70.66
"1970-04-23",-39.58,-67.45
"1970-04-24",-32.66,-63.44
"1970-04-25",-31.59,-62.22
"1970-04-26",-26.7,-60.93
"1970-04-27",-19.18,-57.87
"1970-04-28",-17.47,-57.22
"1970-04-29",-14.77,-54.81
"1970-04-30",-13.87,-56.46
"1970-05-01",-10.41,-54.34
"1970-05-02",-5.04,-51.69
"1970-05-03",-11.39,-54.28
"1970-05-04",-6.16,-52.34
"1970-05-05",0,-48.94
"1970-05-06",0,-47.6
"1970-05-07",-9.99,-51.94
"1970-05-08",-16.1,-55.09
"1970-05-09",-9.59,-51.99
"1970-05-10",-18.56,-54.99
"1970-05-11",-8.19,-49.57
"1970-05-12",-2.1,-46.61
"1970-05-13",-6.08,-46.81
"1970-05-14",0,-43.52
"1970-05-15",0,-42.51
"1970-05-16",-1.87,-40.76
"1970-05-17",-5.1,-40.79
"1970-05-18",0,-38.82
"1970-05-19",-3.14,-39.63
"1970-05-20",-5.19,-40.95
"1970-05-21",-1.83,-41.31
"1970-05-22",-6.5,-45.08
"1970-05-23",-6.2,-48.57
"1970-05-24",0,-42.84
"1970-05-25",-2.23,-44.21
"1970-05-26",-5.12,-44.53
"1970-05-27",0,-40.09
"1970-05-28",0,-36.83
"1970-05-29",0,-34.18
"1970-05-30",-1.24,-35.14
"1970-05-31",-10.6,-39.8
"1970-06-01",-5.63,-37.51
"1970-06-02",-7.15,-37.41
"1970-06-03",-0.6,-34.7
"1970-06-04",-2.69,-33.65
"1970-06-05",-8.69,-36.61
"1970-06-06",-9.26,-35.91
"1970-06-07",-7.95,-35.71
"1970-06-08",-7.54,-33.1
"1970-06-09",-8.42,-32.71
"1970-06-10",-7.51,-30.43
"1970-06-11",-2.54,-29.12
"1970-06-12",0,-26.42
"1970-06-13",-3.81,-27.54
"1970-06-14",-1.28,-22.79
"1970-06-15",-1.81,-23.57
"1970-06-16",-0.09,-19.7
"1970-06-17",0,-16.54
"1970-06-18",0,-13.56
"1970-06-19",0,-11.07
"1970-06-20",-4.19,-12.62
"1970-06-21",-1.54,-8.27
"1970-06-22",0,-10.6
"1970-06-23",0,-12.39
"1970-06-24",0,-9.67
"1970-06-25",0,-6.14
"1970-06-26",0,-6.96
"1970-06-27",0,-2.48
"1970-06-28",-1.05,-4.33
"1970-06-29",0,-1.4
"1970-06-30",0,0
"1970-07-01",-0.85,-1.16
"1970-07-02",-6.39,-3.26
"1970-07-03",0,0
"1970-07-04",-4.58,-1.26
"1970-07-05",0,-0.45
"1970-07-06",0,0
"1970-07-07",-6.64,-1.64
"1970-07-08",-6.6,0
"1970-07-09",-12.26,-6.86
"1970-07-10",-11.22,-9.91
"1970-07-11",-1.08,-1.45
"1970-07-12",-0.91,-0.38
"1970-07-13",-3.82,-2.36
"1970-07-14",-9.82,-10.03
"1970-07-15",-9.88,-11.12
"1970-07-16",-0.34,-5.04
"1970-07-17",-7.53,-6.88
"1970-07-18",-2.91,-3.51
"1970-07-19",-3.13,-5.57
"1970-07-20",0,0
"1970-07-21",0,0
"1970-07-22",0,0
"1970-07-23",-1.73,-2.31
"1970-07-24",-1.64,0
"1970-07-25",0,0
"1970-07-26",0,0
"1970-07-27",0,0
"1970-07-28",0,0
"1970-07-29",0,0
"1970-07-30",0,0
"1970-07-31",-0.44,-0.94
"1970-08-01",0,0
"1970-08-02",0,0
"1970-08-03",0,0
"1970-08-04",0,0
"1970-08-05",0,0
"1970-08-06",0,0
"1970-08-07",0,0
"1970-08-08",0,-1.87
"1970-08-09",-3.04,-4.7
"1970-08-10",-2.42,-4.66
"1970-08-11",0,0
"1970-08-12",-2.95,0
"1970-08-13",-0.3,0
"1970-08-14",0,0
"1970-08-15",0,-0.78
"1970-08-16",-4.35,-9.91
"1970-08-17",-5.08,-9.61
"1970-08-18",-12.77,-18.18
"1970-08-19",-7.69,-10.21
"1970-08-20",-0.63,-7.12
"1970-08-21",0,-4.69
"1970-08-22",0,-0.17
"1970-08-23",-9.27,-8.09
"1970-08-24",-0.31,-1.27
"1970-08-25",0,0
"1970-08-26",-5.84,-2.6
"1970-08-27",-0.27,-2.15
"1970-08-28",0,0
"1970-08-29",0,0
"1970-08-30",0,0
"1970-08-31",0,0
"1970-09-01",-9.49,-6.38
"1970-09-02",-12.21,-15.85
"1970-09-03",-2.13,-2.86
"1970-09-04",0,0
"1970-09-05",0,0
"1970-09-06",-0.33,0
"1970-09-07",0,0
"1970-09-08",-3.33,-5.16
"1970-09-09",-10.89,-7.34
"1970-09-10",-2.25,0
"1970-09-11",0,0
"1970-09-12",0,0
"1970-09-13",0,0
"1970-09-14",0,0
"1970-09-15",0,0
"1970-09-16",0,-1.53
"1970-09-17",0,0
"1970-09-18",0,0
"1970-09-19",0,0
"1970-09-20",-4.78,-5.31
"1970-09-21",0,0
"1970-09-22",0,0
"1970-09-23",0,0
"1970-09-24",-6.68,-8.98
"1970-09-25",-9.86,-12.1
"1970-09-26",-5.74,-9.1
"1970-09-27",-16.14,-21.16
"1970-09-28",-18.61,-22.78
"1970-09-29",-24.58,-29.51
"1970-09-30",-18.08,-20.8
"1970-10-01",-22.52,-24.47
"1970-10-02",-33.27,-32.4
"1970-10-03",-24.94,-29.77
"1970-10-04",-20.5,-26.7
"1970-10-05",-25.98,-33.1
"1970-10-06",-21.29,-25.95
"1970-10-07",-22.79,-26.78
"1970-10-08",-11.23,-21.88
"1970-10-09",-11.79,-21.85
"1970-10-10",-6.36,-17.32
"1970-10-11",0,-11.87
"1970-10-12",0,-8.3
"1970-10-13",0,-10.29
"1970-10-14",-5.79,-15.5
"1970-10-15",-5.02,-17.86
"1970-10-16",0,-9.07
"1970-10-17",0,-4.05
"1970-10-18",-1.5,-3.07
"1970-10-19",-1.6,0
"1970-10-20",0,0
"1970-10-21",-10.89,-4.41
"1970-10-22",-6.64,0
"1970-10-23",0,0
"1970-10-24",-0.19,-0.75
"1970-10-25",-3.92,-0.11
"1970-10-26",0,0
"1970-10-27",-3.09,-0.52
"1970-10-28",0,0
"1970-10-29",-4.23,0
